season_id,date,Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30
2797068,25/01/24,Chelsea,D,L,D,W,L,L,W,D,W,W,W,W,W,W,D,W,W,L,W,L,L,L,W,D,W,D,L,D,W,W
2797068,25/01/24,Liverpool,W,L,L,W,W,D,D,D,L,W,W,W,D,D,W,W,D,D,D,W,W,W,L,D,W,D,W,W,D,W
2797068,25/01/24,Tottenham,W,W,L,L,W,D,D,L,D,W,D,W,W,D,L,W,D,D,L,W,W,W,D,W,W,W,L,D,D,L
2797068,25/01/24,Manchester Blue,W,D,W,L,W,W,W,W,W,W,L,L,L,D,W,L,W,D,W,L,W,W,W,D,W,W,L,L,D,D
2797068,25/01/24,Bournemouth,L,W,W,D,W,D,W,D,W,L,W,W,D,D,W,W,L,W,D,W,L,L,W,W,L,L,D,W,D,W
2797068,25/01/24,West Ham,D,L,W,D,L,W,D,L,L,L,L,D,L,L,L,D,W,L,D,W,W,L,L,L,L,D,D,L,L,D
2797068,25/01/24,Manchester Reds,D,D,L,W,W,D,W,D,D,L,W,W,D,D,L,L,D,W,W,L,W,L,L,L,L,D,W,L,W,L
2797068,25/01/24,Wolverhampton,L,W,D,L,W,L,L,D,L,W,D,W,L,D,L,D,L,W,L,L,W,W,L,W,D,L,W,D,L,L
2797068,25/01/24,Watford,D,D,L,W,D,D,L,D,L,L,W,L,L,D,W,W,D,L,W,D,L,L,W,L,L,L,W,D,D,D
2797068,25/01/24,London Guns,W,L,W,W,L,D,D,D,L,W,L,W,W,W,W,L,W,D,W,W,W,D,W,W,W,D,L,W,W,W
2797068,25/01/24,Everton,L,L,L,L,D,L,W,D,L,L,W,L,W,W,W,L,L,D,L,D,L,W,W,L,D,D,W,W,D,W
2797068,25/01/24,Burnley,L,D,L,W,L,W,D,D,W,W,W,L,D,D,L,L,L,D,D,L,W,D,L,W,W,D,L,L,W,L
2797068,25/01/24,Southampton,W,W,W,W,W,L,D,W,W,L,L,D,L,D,L,D,W,D,L,L,L,L,L,L,L,W,D,D,L,L
2797068,25/01/24,Leicester,L,D,W,L,L,D,L,D,W,L,L,L,W,L,W,W,D,D,D,W,L,W,L,W,L,D,D,D,D,W
2797068,25/01/24,Crystal Palace,D,D,W,L,L,D,L,L,W,L,L,L,L,D,L,D,D,W,D,W,L,W,W,L,L,D,W,D,D,D
2797068,25/01/24,Newcastle,D,W,L,L,L,W,L,W,L,W,L,L,W,L,D,L,L,L,L,L,L,L,D,D,W,D,L,D,L,L
2797095,25/01/24,Chelsea,W,W,L,W,W,D,W,D,W,W,D,L,W,D,W,W,L,W,W,D,W,D,W,W,L,D,D,W,L,W
2797095,25/01/24,Liverpool,W,D,W,W,W,D,L,D,D,L,D,W,D,D,W,W,D,W,W,W,W,W,L,W,W,W,D,L,W,L
2797095,25/01/24,Tottenham,L,W,L,L,L,D,D,L,L,W,L,W,D,L,L,L,L,W,L,D,L,D,L,W,D,W,L,W,D,D
2797095,25/01/24,Manchester Blue,W,D,W,L,W,W,D,W,W,W,L,W,W,W,W,W,W,L,L,W,D,W,W,L,L,D,W,D,W,D
2797095,25/01/24,Bournemouth,W,D,D,W,D,L,L,L,D,L,D,L,W,L,W,W,D,W,W,D,W,W,L,D,W,D,D,W,D,D
2797095,25/01/24,West Ham,W,W,W,L,L,L,D,D,L,D,W,L,L,W,L,L,W,D,L,D,D,D,L,L,L,L,W,L,W,W
2797095,25/01/24,Manchester Reds,L,W,W,W,D,D,D,L,W,W,D,W,D,W,W,W,D,W,W,W,L,D,L,W,W,D,W,W,W,W
2797095,25/01/24,Wolverhampton,W,L,L,D,D,W,W,L,D,L,D,L,L,W,L,L,W,D,L,D,W,L,D,D,D,D,L,D,W,L
2797095,25/01/24,Watford,L,D,D,W,L,D,L,W,L,D,W,W,L,L,D,W,W,L,D,L,W,W,D,D,D,D,D,L,L,W
2797095,25/01/24,London Guns,W,L,L,D,W,W,W,L,D,D,W,W,W,W,L,W,W,L,W,D,W,L,W,L,D,W,W,D,D,D
2797095,25/01/24,Everton,D,W,L,D,L,L,L,W,W,D,W,W,D,D,D,W,L,D,L,L,L,D,W,L,W,W,D,W,L,L
2797095,25/01/24,Burnley,L,D,W,L,D,W,D,W,D,D,D,L,D,L,W,L,L,L,L,L,W,D,W,D,W,L,D,W,L,W
2797095,25/01/24,Southampton,L,L,L,L,W,L,L,W,L,D,D,L,D,L,L,L,W,L,D,L,L,L,L,W,L,D,L,L,L,D
2797095,25/01/24,Leicester,L,L,W,W,W,W,W,D,W,W,D,L,L,L,L,L,D,D,W,L,L,W,W,D,L,D,W,D,L,L
2797095,25/01/24,Crystal Palace,L,D,L,D,L,L,D,L,L,L,L,W,D,W,W,L,L,D,W,W,L,L,L,L,L,L,L,L,D,D
2797095,25/01/24,Newcastle,D,L,W,L,L,D,W,W,D,L,L,L,D,D,L,L,L,D,L,W,L,L,W,D,W,L,L,L,W,L
2797121,25/01/24,Chelsea,W,W,W,W,W,L,W,L,L,W,D,W,D,L,L,W,W,W,W,W,D,L,W,W,W,W,W,W,W,W
2797121,25/01/24,Liverpool,L,W,L,L,W,W,W,W,D,D,L,W,W,L,D,D,W,L,D,W,D,W,L,W,L,W,W,W,L,W
2797121,25/01/24,Tottenham,W,W,L,W,L,W,L,D,D,D,D,W,L,W,D,W,L,L,L,W,W,W,W,L,W,L,W,L,W,D
2797121,25/01/24,Manchester Blue,D,D,W,D,W,W,L,L,W,W,D,D,L,W,W,W,L,W,L,W,L,W,L,W,L,W,W,L,W,D
2797121,25/01/24,Bournemouth,D,D,L,W,W,D,W,W,W,D,D,D,L,W,L,W,D,L,W,W,W,L,D,W,D,W,W,L,L,D
2797121,25/01/24,West Ham,W,D,W,L,W,L,D,L,W,W,L,W,W,D,L,D,W,W,L,L,L,D,D,L,L,D,L,W,W,W
2797121,25/01/24,Manchester Reds,W,L,D,D,L,L,W,W,D,W,W,D,D,D,W,D,W,W,W,L,W,L,D,W,L,D,L,L,W,L
2797121,25/01/24,Wolverhampton,L,W,W,D,W,W,W,L,L,L,W,W,L,W,L,L,W,W,W,L,L,L,W,L,W,D,D,W,D,W
2797121,25/01/24,Watford,L,W,W,W,L,L,D,W,L,D,L,L,D,L,D,L,D,L,D,L,W,D,L,D,D,D,L,D,D,W
2797121,25/01/24,London Guns,W,L,W,D,W,W,W,L,W,L,D,W,W,W,D,D,L,W,W,W,W,W,D,D,W,L,W,L,W,D
2797121,25/01/24,Everton,L,W,L,D,L,W,L,D,D,W,D,L,W,L,W,W,W,W,L,L,W,W,W,W,W,L,L,W,W,L
